S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,S6_PIR,S7_PIR,Room_Occupancy_Count
25.94,27.75,25.69,26.25,164,252,270,70,0.35,2.33,0.88,0.29,860,1.63461538462,1,1,3
26,27.88,25.75,26.25,164,253,261,70,3.46,0.21,0.83,0.25,855,1.51153846154,0,1,3
26,27.81,25.75,26.25,164,253,272,71,0.3,0.23,0.83,0.18,860,1.40384615385,1,1,3
26,27.81,25.75,26.19,165,254,274,72,0.76,0.14,0.39,0.14,860,1.26153846154,1,1,3
26,27.88,25.75,26.19,164,253,272,71,1.24,0.17,0.61,0.23,860,1.08461538462,1,1,3
26,27.88,25.75,26.25,165,254,272,70,2.42,0.34,0.7,0.17,860,0.923076923077,1,1,3
26,27.88,25.81,26.19,164,253,270,70,0.15,0.14,0.07,0.07,860,0.880769230769,0,1,3
26,27.94,25.81,26.19,164,252,268,70,0.18,0.45,0.06,0.06,865,0.915384615385,0,0,3
26,27.81,25.81,26.19,163,252,268,70,0.17,0.06,0.06,0.06,865,0.930769230769,1,0,3
26,27.81,25.81,26.19,164,252,268,70,0.07,0.1,0.19,0.06,865,0.976923076923,1,0,3
26,27.75,25.81,26.19,163,252,266,69,0.06,0.06,0.14,0.09,875,1.1,0,0,3
